height(m),height(km),CO2(mol/mol),O(mol/mol),O2(mol/mol)
1000,1,0.952058,0.0000236529,0.00152232
6852.94,6.85294,0.952793,0.0000236529,0.00149842
12705.9,12.7059,0.952972,0.0000236529,0.00149162
18558.8,18.5588,0.95278,0.0000236529,0.00149751
24411.8,24.4118,0.952877,0.0000236529,0.0014944
30264.7,30.2647,0.953333,0.0000236529,0.00147998
36117.6,36.1176,0.95372,0.0000236529,0.00146727
41970.6,41.9706,0.953841,0.0000236529,0.00146377
47823.5,47.8235,0.953846,0.0000236529,0.00146525
53676.5,53.6765,0.953851,0.0000236529,0.00146858
59529.4,59.5294,0.953948,0.0000236529,0.00147744
65382.4,65.3824,0.953883,0.0000236529,0.00148405
71235.3,71.2353,0.953616,0.0000236529,0.00148101
77088.2,77.0882,0.953228,0.0000236529,0.00147462
82941.2,82.9412,0.952697,0.0000236529,0.00146564
88794.1,88.7941,0.951839,0.0000236529,0.00145241
94647.1,94.6471,0.950294,0.0000236529,0.00143309
100500,100.5,0.947718,0.0000236529,0.00140977
106353,106.353,0.944019,0.0000236529,0.00139802
112206,112.206,0.938173,0.0000236529,0.00142029
118059,118.059,0.928213,0.0000236529,0.00152884
123912,123.912,0.912786,0.0000236529,0.0017467
129765,129.765,0.894124,0.0000236529,0.0020169
135618,135.618,0.873562,0.0000236529,0.00230076
141471,141.471,0.850891,0.0000236529,0.00259145
147324,147.324,0.825487,0.0000236529,0.0028894
153176,153.176,0.79517,0.0000236529,0.00319185
159029,159.029,0.761056,0.0000236529,0.0034896
164882,164.882,0.723597,0.0000236529,0.003782
170735,170.735,0.678851,0.0000236529,0.00403854
176588,176.588,0.631147,0.0000236529,0.00426278
182441,182.441,0.579498,0.0000236529,0.00444392
188294,188.294,0.524748,0.0000236529,0.00453917
194147,194.147,0.46881,0.0000236529,0.0046015
200000,200,0.413534,0.0000236529,0.0045364
